case_id,tool_name,complexity,test_type,valid_json,tool_correct,params_present,params_correct,format_compliant,optional_bonus,response_time_ms,error
calendar_edge_01,create_calendar_event,complex,edge,True,True,True,True,True,1.0,1118.1701669702306,
calendar_edge_02,create_calendar_event,complex,edge,True,True,True,True,True,1.0,1739.91483298596,
calendar_edge_03,create_calendar_event,complex,edge,True,True,True,True,True,1.0,923.9083750871941,
calendar_distractor_01,create_calendar_event,complex,distractor,True,True,True,True,True,1.0,1110.7048330595717,
calendar_distractor_02,create_calendar_event,complex,distractor,True,True,True,True,True,1.0,1044.3774170707911,
flights_direct_01,search_flights,complex,direct,True,True,True,True,True,1.0,616.8535419274122,
flights_direct_02,search_flights,complex,direct,True,True,True,True,True,1.0,808.2423750311136,
flights_direct_03,search_flights,complex,direct,True,True,True,True,True,1.0,824.3743749335408,
flights_direct_04,search_flights,complex,direct,True,True,True,True,True,1.0,814.1927079996094,
flights_direct_05,search_flights,complex,direct,True,True,True,True,True,1.0,680.0836659967899,
flights_inference_01,search_flights,complex,inference,True,True,True,True,True,1.0,1161.820707959123,
flights_inference_02,search_flights,complex,inference,True,True,True,False,True,1.0,1025.4725000122562,
flights_inference_03,search_flights,complex,inference,True,True,True,False,True,1.0,831.8423749879003,
flights_inference_04,search_flights,complex,inference,True,True,True,False,True,1.0,1013.4204580681399,
flights_inference_05,search_flights,complex,inference,True,True,True,False,True,1.0,1224.1350839613006,
flights_edge_01,search_flights,complex,edge,True,True,True,True,True,1.0,718.0710840038955,
flights_edge_02,search_flights,complex,edge,True,True,True,True,True,1.0,941.3608750328422,
flights_edge_03,search_flights,complex,edge,True,True,True,True,True,1.0,762.4438329366967,
flights_distractor_01,search_flights,complex,distractor,True,True,True,True,True,1.0,676.7435839865357,
flights_distractor_02,search_flights,complex,distractor,True,True,True,True,True,1.0,657.1153750410303,
order_direct_01,create_order,complex,direct,True,True,True,True,True,1.0,901.1099999770522,
order_direct_02,create_order,complex,direct,True,True,True,False,True,1.0,974.585457937792,
order_direct_03,create_order,complex,direct,True,True,True,True,True,1.0,1255.9576249914244,
order_direct_04,create_order,complex,direct,True,True,True,True,True,1.0,897.4719590041786,
order_direct_05,create_order,complex,direct,True,True,True,False,True,1.0,1841.3352499483153,
order_inference_01,create_order,complex,inference,True,True,True,False,True,1.0,1353.273499989882,
order_inference_02,create_order,complex,inference,True,True,True,False,True,1.0,1439.2747500678524,
order_inference_03,create_order,complex,inference,True,True,True,False,True,1.0,991.8506250251085,
order_inference_04,create_order,complex,inference,True,True,True,False,True,1.0,818.8348329858854,
order_inference_05,create_order,complex,inference,True,True,True,False,True,1.0,922.0280000008643,
order_edge_01,create_order,complex,edge,True,True,True,True,True,1.0,737.0446670101956,
order_edge_02,create_order,complex,edge,True,True,True,True,True,1.0,1824.9169579939917,
order_edge_03,create_order,complex,edge,True,True,True,False,True,1.0,974.1557500092313,
order_distractor_01,create_order,complex,distractor,True,True,True,True,True,1.0,1016.7308750096709,
order_distractor_02,create_order,complex,distractor,True,True,True,False,True,1.0,980.3101669531316,
